season,home_team,away_team,starting_min,home_0,home_1,home_2,home_3,home_4,away_0,away_1,away_2,away_3,away_4
2007,DEN,LAC,42,Andre Miller,?,Joe Smith,Reggie Evans,Yakhouba Diawara,Corey Maggette,Cuttino Mobley,Daniel Ewing,James Singleton,Tim Thomas
2007,DEN,SAC,32,?,Carmelo Anthony,J.R. Smith,Linas Kleiza,Marcus Camby,Brad Miller,Kevin Martin,Metta World Peace,Mike Bibby,Shareef Abdur-Rahim
2007,LAL,DEN,14,Jordan Farmar,?,Ronny Turiaf,Sasha Vujacic,Vladimir Radmanovic,Allen Iverson,Earl Boykins,Marcus Camby,Reggie Evans,Yakhouba Diawara
2007,NYK,PHI,41,Channing Frye,Eddy Curry,Jared Jeffries,Quentin Richardson,?,Andre Iguodala,Andre Miller,Kyle Korver,Samuel Dalembert,Willie Green
2007,GSW,PHI,22,Andris Biedrins,Baron Davis,Jason Richardson,?,Mike Dunleavy,Andre Miller,Kevin Ollie,Kyle Korver,Rodney Carney,Samuel Dalembert
2007,POR,DEN,41,Jarrett Jack,Juan Dixon,LaMarcus Aldridge,?,Zach Randolph,Carmelo Anthony,Eduardo Najera,Marcus Camby,Steve Blake,Yakhouba Diawara
2007,DET,PHI,11,Amir Johnson,Chauncey Billups,?,Richard Hamilton,Tayshaun Prince,Bobby Jones,Joe Smith,Lou Williams,Samuel Dalembert,Willie Green
2007,CLE,MEM,40,?,David Wesley,Drew Gooden,Eric Snow,LeBron James,Brian Cardinal,Dahntay Jones,Damon Stoudamire,Lawrence Roberts,Mike Miller
2007,WAS,ORL,30,Andray Blatche,?,Caron Butler,DeShawn Stevenson,Gilbert Arenas,Dwight Howard,Grant Hill,Hedo Turkoglu,Jameer Nelson,Tony Battie
2007,HOU,LAL,45,Chuck Hayes,Dikembe Mutombo,John Lucas III,?,Tracy McGrady,Jordan Farmar,Maurice Evans,Ronny Turiaf,Sasha Vujacic,Vladimir Radmanovic
2007,DET,TOR,35,?,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,Andrea Bargnani,Anthony Parker,Chris Bosh,Jose Calderon,Morris Peterson
2007,SAC,PHO,34,John Salmons,Metta World Peace,Mike Bibby,?,Shareef Abdur-Rahim,Amar'e Stoudemire,Boris Diaw,Raja Bell,Shawn Marion,Steve Nash
2007,UTA,SEA,18,Deron Williams,Gordan Giricek,?,Mehmet Okur,Paul Millsap,Chris Wilcox,Damien Wilkins,Earl Watson,Johan Petro,Rashard Lewis
2007,WAS,NYK,24,?,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,David Lee,Jamal Crawford,Jared Jeffries,Quentin Richardson,Stephon Marbury
2007,MEM,MIA,7,Chucky Atkins,Dahntay Jones,Hakim Warrick,Jake Tsakalidis,?,Antoine Walker,Dorell Wright,Dwyane Wade,Jason Williams,Udonis Haslem
2007,CHI,PHI,12,Ben Gordon,Ben Wallace,Chris Duhon,?,Tyrus Thomas,Andre Iguodala,Kevin Ollie,Kyle Korver,Samuel Dalembert,Willie Green
2007,MIN,NOK,17,Craig Smith,Mark Madsen,Randy Foye,Rashad McCants,?,David West,Devin Brown,Jannero Pargo,Marc Jackson,Marcus Vinicius
2007,HOU,SAC,30,Chuck Hayes,?,Rafer Alston,Shane Battier,Tracy McGrady,Kenny Thomas,Kevin Martin,Metta World Peace,Mike Bibby,Shareef Abdur-Rahim
2007,MIA,IND,13,?,Dwyane Wade,Gary Payton,James Posey,Michael Doleac,Jeff Foster,Maceo Baston,Orien Greene,Rawle Marshall,Shawne Williams
2007,MIL,DEN,25,Andrew Bogut,?,Charlie Villanueva,Mo Williams,Ruben Patterson,Carmelo Anthony,Eduardo Najera,Linas Kleiza,Nene Hilario,Steve Blake
2007,POR,MIN,39,Jamaal Magloire,Juan Dixon,?,Martell Webster,Sergio Rodriguez,Craig Smith,Mark Madsen,Marko Jaric,Randy Foye,Ricky Davis
2007,CLE,TOR,28,Anderson Varejao,Larry Hughes,LeBron James,Sasha Pavlovic,?,Chris Bosh,Jorge Garbajosa,Morris Peterson,Rasho Nesterovic,T.J. Ford
2007,CHI,CLE,31,Ben Gordon,Chris Duhon,Luol Deng,Malik Allen,?,Donyell Marshall,Drew Gooden,Eric Snow,Larry Hughes,LeBron James
2007,LAL,WAS,25,Kobe Bryant,Kwame Brown,Luke Walton,?,Vladimir Radmanovic,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas
2007,MIA,LAC,30,Alonzo Mourning,Gary Payton,Jason Kapono,Jason Williams,?,Chris Kaman,Corey Maggette,Elton Brand,Quinton Ross,Shaun Livingston
2007,ORL,NJN,43,Bo Outlaw,?,J.J. Redick,Pat Garrity,Travis Diener,Antoine Wright,Clifford Robinson,Eddie House,Josh Boone,Marcus Williams
2007,UTA,MEM,45,Andrei Kirilenko,Carlos Boozer,?,Matt Harpring,Mehmet Okur,Alexander Johnson,Chucky Atkins,Dahntay Jones,Mike Miller,Pau Gasol
2007,GSW,PHI,43,Andris Biedrins,?,Matt Barnes,Mickael Pietrus,Mike Dunleavy,Bobby Jones,Joe Smith,Kevin Ollie,Lou Williams,Rodney Carney
2007,DEN,MIN,29,?,Carmelo Anthony,Eduardo Najera,Nene Hilario,Steve Blake,Craig Smith,Justin Reed,Randy Foye,Ricky Davis,Trenton Hassell
2007,LAL,NYK,0,Andrew Bynum,?,Lamar Odom,Smush Parker,Vladimir Radmanovic,Eddy Curry,Jamal Crawford,Jerome James,Quentin Richardson,Stephon Marbury
2007,NYK,MIA,13,David Lee,Jamal Crawford,Jared Jeffries,Nate Robinson,?,Dwyane Wade,Jason Kapono,Jason Williams,Michael Doleac,Udonis Haslem
2007,NYK,IND,8,Channing Frye,?,Quentin Richardson,Stephon Marbury,Steve Francis,Jamaal Tinsley,Jeff Foster,Jermaine O'Neal,Marquis Daniels,Stephen Jackson
2007,MIL,NOK,9,?,Lynn Greer,Michael Redd,Mo Williams,Ruben Patterson,Bobby Jackson,Chris Paul,David West,Desmond Mason,Tyson Chandler
2007,TOR,IND,12,Andrea Bargnani,?,Chris Bosh,Jose Calderon,Rasho Nesterovic,Darrell Armstrong,Jeff Foster,Jermaine O'Neal,Marquis Daniels,Mike Dunleavy
2007,MIL,WAS,5,Andrew Bogut,Brian Skinner,?,Michael Redd,Mo Williams,Antawn Jamison,Antonio Daniels,Caron Butler,DeShawn Stevenson,Gilbert Arenas
2007,GSW,CHA,30,Al Harrington,Baron Davis,?,Monta Ellis,Stephen Jackson,Adam Morrison,Emeka Okafor,Gerald Wallace,Jeff McInnis,Melvin Ely
2007,NYK,LAL,42,David Lee,Eddy Curry,Jamal Crawford,?,Stephon Marbury,Brian Cook,Jordan Farmar,Maurice Evans,Ronny Turiaf,Vladimir Radmanovic
2007,DEN,UTA,37,Allen Iverson,Earl Boykins,?,Reggie Evans,Yakhouba Diawara,Dee Brown,Derek Fisher,Jarron Collins,Matt Harpring,Paul Millsap
2007,BOS,CHA,26,Paul Pierce,Ryan Gomes,?,Theo Ratliff,Wally Szczerbiak,Brevin Knight,Emeka Okafor,Gerald Wallace,Jake Voskuhl,Raymond Felton
2007,DEN,CLE,19,J.R. Smith,?,Nene Hilario,Steve Blake,Yakhouba Diawara,Daniel Gibson,Drew Gooden,Larry Hughes,LeBron James,Zydrunas Ilgauskas
2007,SAC,DEN,46,Brad Miller,?,John Salmons,Kevin Martin,Metta World Peace,Allen Iverson,Carmelo Anthony,Linas Kleiza,Marcus Camby,Steve Blake
2007,WAS,DAL,25,Antawn Jamison,Caron Butler,DeShawn Stevenson,Etan Thomas,?,Devin Harris,Dirk Nowitzki,Erick Dampier,Jason Terry,Josh Howard
2007,SAS,SAC,37,Bruce Bowen,Fabricio Oberto,Jacque Vaughn,?,Michael Finley,Francisco Garcia,John Salmons,Justin Williams,Kevin Martin,Ronnie Price
2007,PHO,DAL,43,Amar'e Stoudemire,Leandro Barbosa,Raja Bell,Shawn Marion,?,Devean George,Dirk Nowitzki,Jason Terry,Jerry Stackhouse,Josh Howard
2007,WAS,DET,41,Antonio Daniels,?,Etan Thomas,Gilbert Arenas,Jarvis Hayes,Antonio McDyess,Carlos Delfino,Chauncey Billups,Chris Webber,Lindsey Hunter
2007,CHI,NJN,43,?,Chris Duhon,Kirk Hinrich,Malik Allen,Thabo Sefolosha,Antoine Wright,Bostjan Nachbar,Hassan Adams,Josh Boone,Marcus Williams
2007,DET,NYK,24,?,Chauncey Billups,Richard Hamilton,Ronald Murray,Tayshaun Prince,Eddy Curry,Jamal Crawford,Quentin Richardson,Stephon Marbury,Steve Francis
2007,MIL,MEM,39,Charlie Bell,Charlie Villanueva,Dan Gadzuric,?,Steve Blake,Brian Cardinal,Damon Stoudamire,Hakim Warrick,Rudy Gay,Tarence Kinsey
2007,HOU,SAS,44,?,John Lucas III,Kirk Snyder,Steve Novak,Vassilis Spanoulis,Beno Udrih,Fabricio Oberto,Jacque Vaughn,Matt Bonner,Melvin Ely
2007,PHO,CHI,34,?,James Jones,Leandro Barbosa,Raja Bell,Shawn Marion,Ben Gordon,Ben Wallace,Chris Duhon,Kirk Hinrich,Luol Deng
2007,LAC,MEM,43,Corey Maggette,Elton Brand,Quinton Ross,?,Tim Thomas,Chucky Atkins,Dahntay Jones,Hakim Warrick,Lawrence Roberts,Mike Miller
2007,LAC,DAL,30,Cuttino Mobley,Elton Brand,Quinton Ross,Sam Cassell,?,Anthony Johnson,Dirk Nowitzki,Erick Dampier,Jason Terry,Jerry Stackhouse
2007,UTA,CLE,11,Derek Fisher,?,Matt Harpring,Mehmet Okur,Paul Millsap,Anderson Varejao,Donyell Marshall,Eric Snow,LeBron James,Sasha Pavlovic
2007,CHI,MEM,10,Ben Gordon,Kirk Hinrich,Luol Deng,?,Viktor Khryapa,Chucky Atkins,Dahntay Jones,Hakim Warrick,Lawrence Roberts,Mike Miller
2007,GSW,UTA,21,Al Harrington,Baron Davis,Matt Barnes,Monta Ellis,?,Carlos Boozer,Derek Fisher,Deron Williams,Matt Harpring,Mehmet Okur
2007,LAL,GSW,39,Kobe Bryant,Lamar Odom,Ronny Turiaf,Sasha Vujacic,?,Al Harrington,Andris Biedrins,Baron Davis,Monta Ellis,Stephen Jackson
2007,DEN,ATL,19,Andre Miller,Carmelo Anthony,?,Eduardo Najera,Linas Kleiza,Joe Johnson,Josh Smith,Lorenzen Wright,Salim Stoudamire,Tyronn Lue
2007,NYK,PHO,14,David Lee,Eddy Curry,Jamal Crawford,?,Renaldo Balkman,Boris Diaw,James Jones,Jumaine Jones,Leandro Barbosa,Raja Bell
2007,NYK,TOR,11,Channing Frye,Jared Jeffries,Nate Robinson,Renaldo Balkman,?,Andrea Bargnani,Chris Bosh,Joey Graham,Juan Dixon,T.J. Ford
2007,ATL,UTA,16,Joe Johnson,?,Salim Stoudamire,Shelden Williams,Speedy Claxton,Carlos Boozer,Deron Williams,Gordan Giricek,Matt Harpring,Mehmet Okur
2007,MIL,SAC,24,Andrew Bogut,?,Michael Redd,Mo Williams,Ruben Patterson,John Salmons,Kenny Thomas,Kevin Martin,Mike Bibby,Shareef Abdur-Rahim
2007,BOS,ATL,41,Delonte West,Gerald Green,Kendrick Perkins,?,Ryan Gomes,Joe Johnson,Josh Childress,Marvin Williams,Shelden Williams,Zaza Pachulia
2007,ATL,MIL,36,Josh Childress,?,Salim Stoudamire,Shelden Williams,Tyronn Lue,Andrew Bogut,Charlie Bell,Ersan Ilyasova,Michael Redd,Steve Blake
2007,IND,LAC,22,?,Jamaal Tinsley,Jermaine O'Neal,Mike Dunleavy,Troy Murphy,Chris Kaman,Corey Maggette,Cuttino Mobley,Elton Brand,Shaun Livingston
2007,CHI,NJN,34,Andres Nocioni,?,Chris Duhon,Kirk Hinrich,P.J. Brown,Bostjan Nachbar,Jason Kidd,Mikki Moore,Richard Jefferson,Vince Carter
2007,CLE,IND,13,Anderson Varejao,Donyell Marshall,?,LeBron James,Shannon Brown,Darrell Armstrong,Ike Diogu,Jeff Foster,Mike Dunleavy,Orien Greene
2007,BOS,CLE,21,Al Jefferson,?,Kendrick Perkins,Rajon Rondo,Ryan Gomes,Anderson Varejao,Eric Snow,Sasha Pavlovic,Shannon Brown,Zydrunas Ilgauskas
2007,NYK,BOS,14,?,Jared Jeffries,Malik Rose,Nate Robinson,Stephon Marbury,Brian Scalabrine,Delonte West,Gerald Green,Leon Powe,Rajon Rondo
2007,POR,ORL,13,Jamaal Magloire,?,LaMarcus Aldridge,Sergio Rodriguez,Travis Outlaw,Carlos Arroyo,Darko Milicic,Dwight Howard,Hedo Turkoglu,Keyon Dooling
2007,MIA,SAC,30,Antoine Walker,Eddie Jones,James Posey,Jason Williams,?,Brad Miller,Kevin Martin,Metta World Peace,Mike Bibby,Shareef Abdur-Rahim
2007,LAL,PHO,13,Brian Cook,?,Lamar Odom,Sasha Vujacic,Vladimir Radmanovic,Boris Diaw,James Jones,Kurt Thomas,Leandro Barbosa,Marcus Banks
2007,CHI,MEM,21,Ben Gordon,Chris Duhon,Kirk Hinrich,?,Mike Sweetney,Chucky Atkins,Lawrence Roberts,Mike Miller,Pau Gasol,Rudy Gay
2007,MIN,LAC,40,Bracey Wright,Craig Smith,Kevin Garnett,Randy Foye,?,Elton Brand,Quinton Ross,Sam Cassell,Shaun Livingston,Tim Thomas
2007,GSW,MIN,35,?,Baron Davis,Jason Richardson,Mickael Pietrus,Stephen Jackson,Craig Smith,Kevin Garnett,Randy Foye,Rashad McCants,Ricky Davis
2007,PHI,DET,18,Alan Henderson,Andre Iguodala,Andre Miller,?,Willie Green,Carlos Delfino,Dale Davis,Rasheed Wallace,Ronald Murray,Will Blalock
2007,CHI,CHA,16,Andres Nocioni,Ben Gordon,Kirk Hinrich,?,Tyrus Thomas,Alan Anderson,Emeka Okafor,Jeff McInnis,Raymond Felton,Walter Herrmann
2007,GSW,MEM,28,Andris Biedrins,Jason Richardson,?,Monta Ellis,Stephen Jackson,Hakim Warrick,Junior Harrington,Pau Gasol,Rudy Gay,Tarence Kinsey
2007,CHI,POR,11,Adrian Griffin,Ben Wallace,?,Luol Deng,Thabo Sefolosha,Fred Jones,Ime Udoka,Jamaal Magloire,Sergio Rodriguez,Travis Outlaw
2007,MIN,DEN,44,Craig Smith,Kevin Garnett,?,Rashad McCants,Ricky Davis,Carmelo Anthony,J.R. Smith,Marcus Camby,Nene Hilario,Steve Blake
2007,UTA,TOR,13,Derek Fisher,Deron Williams,Jarron Collins,?,Paul Millsap,Andrea Bargnani,Fred Jones,Jorge Garbajosa,Jose Calderon,Morris Peterson
2007,GSW,ATL,40,Al Harrington,Andris Biedrins,Matt Barnes,Sarunas Jasikevicius,?,Joe Johnson,Josh Childress,Josh Smith,Marvin Williams,Zaza Pachulia
2008,CHI,NOH,15,Aaron Gray,Chris Duhon,Joakim Noah,Thabo Sefolosha,?,Bobby Jackson,Hilton Armstrong,Jannero Pargo,Ryan Bowen,Tyson Chandler
2008,LAL,NYK,28,?,Kobe Bryant,Kwame Brown,Lamar Odom,Ronny Turiaf,David Lee,Jamal Crawford,Mardy Collins,Quentin Richardson,Zach Randolph
2008,MIL,MEM,25,Andrew Bogut,?,Michael Redd,Mo Williams,Yi Jianlian,Damon Stoudamire,Darko Milicic,Mike Miller,Pau Gasol,Rudy Gay
2008,DEN,HOU,17,Allen Iverson,Carmelo Anthony,Eduardo Najera,J.R. Smith,?,Carl Landry,Luis Scola,Rafer Alston,Steve Novak,Tracy McGrady
2008,PHO,DEN,40,?,Boris Diaw,Marcus Banks,Shawn Marion,Steve Nash,Allen Iverson,Anthony Carter,Eduardo Najera,Linas Kleiza,Nene Hilario
2008,POR,SAC,23,Brandon Roy,?,Martell Webster,Steve Blake,Travis Outlaw,Beno Udrih,Brad Miller,Francisco Garcia,Kevin Martin,Shelden Williams
2008,UTA,LAL,16,?,C.J. Miles,Deron Williams,Jason Hart,Paul Millsap,Andrew Bynum,Jordan Farmar,Kobe Bryant,Lamar Odom,Sasha Vujacic
2008,DEN,MIL,18,Allen Iverson,Chucky Atkins,Eduardo Najera,Linas Kleiza,?,Andrew Bogut,Michael Redd,Mo Williams,Royal Ivey,Yi Jianlian
2008,CLE,PHI,18,Anderson Varejao,?,Larry Hughes,LeBron James,Sasha Pavlovic,Kyle Korver,Lou Williams,Reggie Evans,Samuel Dalembert,Thaddeus Young
2008,TOR,IND,39,Carlos Delfino,Jason Kapono,?,Jose Calderon,Kris Humphries,Danny Granger,Jamaal Tinsley,Jermaine O'Neal,Mike Dunleavy,Troy Murphy
2008,DET,DAL,38,?,Jarvis Hayes,Jason Maxiell,Richard Hamilton,Rodney Stuckey,Brandon Bass,Erick Dampier,Jason Terry,Josh Howard,Trenton Hassell
2008,GSW,SAS,44,Andris Biedrins,Baron Davis,Mickael Pietrus,?,Stephen Jackson,Bruce Bowen,Manu Ginobili,Michael Finley,Tim Duncan,Tony Parker
2008,POR,CLE,39,James Jones,Joel Przybilla,Sergio Rodriguez,?,Travis Outlaw,Damon Jones,Daniel Gibson,Devin Brown,LeBron James,Zydrunas Ilgauskas
2008,WAS,MIA,15,Andray Blatche,Antawn Jamison,Darius Songaila,?,Nick Young,Dorell Wright,Dwyane Wade,Joel Anthony,Ricky Davis,Udonis Haslem
2008,PHI,DET,41,?,Lou Williams,Samuel Dalembert,Thaddeus Young,Willie Green,Antonio McDyess,Arron Afflalo,Chauncey Billups,Rasheed Wallace,Richard Hamilton
2008,CHI,UTA,25,Drew Gooden,Joakim Noah,Kirk Hinrich,Larry Hughes,?,Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer
2008,NYK,NJN,21,Eddy Curry,Fred Jones,?,Nate Robinson,Zach Randolph,Jason Collins,Jason Kidd,Josh Boone,Richard Jefferson,Vince Carter
2008,DAL,SAC,35,Brandon Bass,?,Jerry Stackhouse,Josh Howard,Malik Allen,Beno Udrih,John Salmons,Kevin Martin,Mikki Moore,Spencer Hawes
2008,BOS,NYK,22,James Posey,Leon Powe,Paul Pierce,Rajon Rondo,?,Fred Jones,Jamal Crawford,Malik Rose,Nate Robinson,Quentin Richardson
2008,DET,MIN,23,Jarvis Hayes,Jason Maxiell,?,Rodney Stuckey,Theo Ratliff,Al Jefferson,Kirk Snyder,Randy Foye,Rashad McCants,Ryan Gomes
2008,POR,SAC,17,Brandon Roy,Jarrett Jack,?,Sergio Rodriguez,Travis Outlaw,Francisco Garcia,John Salmons,Kenny Thomas,Kevin Martin,Metta World Peace
2008,NYK,NOH,41,Jamal Crawford,?,Malik Rose,Randolph Morris,Wilson Chandler,David West,Jannero Pargo,Mike James,Ryan Bowen,Tyson Chandler
2008,WAS,DAL,0,Antawn Jamison,Antonio Daniels,Brendan Haywood,Caron Butler,?,Devin Harris,Dirk Nowitzki,Eddie Jones,Erick Dampier,Josh Howard
2008,MIA,DAL,9,Bobby Jones,Daequan Cook,Jason Williams,?,Ricky Davis,Dirk Nowitzki,Erick Dampier,Jason Kidd,Jason Terry,Josh Howard
2008,DEN,NJN,15,Allen Iverson,?,J.R. Smith,Kenyon Martin,Yakhouba Diawara,Darrell Armstrong,Jason Kidd,Josh Boone,Malik Allen,Vince Carter
2008,SAC,LAL,37,?,John Salmons,Mikki Moore,Quincy Douby,Shelden Williams,Ira Newble,Jordan Farmar,Lamar Odom,Ronny Turiaf,Sasha Vujacic
2008,PHI,NYK,21,Andre Iguodala,Andre Miller,Jason Smith,Samuel Dalembert,?,David Lee,Fred Jones,Jamal Crawford,Quentin Richardson,Zach Randolph
2008,ATL,WAS,17,Al Horford,Josh Childress,?,Marvin Williams,Salim Stoudamire,Andray Blatche,Antonio Daniels,Brendan Haywood,Caron Butler,Darius Songaila
2008,POR,HOU,0,Brandon Roy,Joel Przybilla,LaMarcus Aldridge,?,Steve Blake,Chuck Hayes,Luther Head,Rafer Alston,Shane Battier,Yao Ming
2008,CLE,CHA,15,Anderson Varejao,Damon Jones,Daniel Gibson,?,LeBron James,Jared Dudley,Jeff McInnis,Matt Carroll,Nazr Mohammed,Raymond Felton
2008,WAS,NYK,23,Antonio Daniels,Brendan Haywood,Caron Butler,DeShawn Stevenson,?,Eddy Curry,Fred Jones,Jamal Crawford,Quentin Richardson,Zach Randolph
2008,PHO,TOR,5,Amar'e Stoudemire,Boris Diaw,?,Leandro Barbosa,Steve Nash,Andrea Bargnani,Anthony Parker,Chris Bosh,Jamario Moon,Jose Calderon
2008,PHO,GSW,17,Amar'e Stoudemire,?,Leandro Barbosa,Raja Bell,Shaquille O'Neal,Al Harrington,Austin Croshere,Kelenna Azubuike,Mickael Pietrus,Monta Ellis
2008,UTA,WAS,21,C.J. Miles,Carlos Boozer,Deron Williams,Kyle Korver,?,Andray Blatche,Antawn Jamison,Brendan Haywood,DeShawn Stevenson,Nick Young
2008,SAS,ATL,46,Bruce Bowen,Manu Ginobili,Robert Horry,Tim Duncan,?,Al Horford,Joe Johnson,Josh Childress,Marvin Williams,Mike Bibby
2008,MEM,LAL,40,Hakim Warrick,Mike Conley,Mike Miller,Pau Gasol,?,Jordan Farmar,Kobe Bryant,Kwame Brown,Ronny Turiaf,Trevor Ariza
2008,MIA,MIL,38,Blake Ahearn,Daequan Cook,?,Kasib Powell,Stephane Lasme,Desmond Mason,Michael Redd,Michael Ruffin,Mo Williams,Yi Jianlian
2008,CHI,BOS,0,Ben Gordon,Ben Wallace,Joe Smith,?,Luol Deng,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen
2008,TOR,HOU,6,Anthony Parker,Carlos Delfino,?,Rasho Nesterovic,T.J. Ford,Chuck Hayes,Shane Battier,Steve Francis,Tracy McGrady,Yao Ming
2008,SAC,LAL,7,?,Brad Miller,John Salmons,Kevin Martin,Metta World Peace,Derek Fisher,Kobe Bryant,Lamar Odom,Luke Walton,Pau Gasol
2008,MIN,CHI,12,Antoine Walker,Gerald Green,Michael Doleac,?,Sebastian Telfair,Aaron Gray,Chris Duhon,Thabo Sefolosha,Tyrus Thomas,Viktor Khryapa
2008,IND,MIL,41,Danny Granger,Jeff Foster,Kareem Rush,?,Ronald Murray,Bobby Simmons,Charlie Bell,Michael Ruffin,Mo Williams,Royal Ivey
2008,HOU,CHA,16,Bobby Jackson,Luis Scola,Mike Harris,Steve Novak,?,Earl Boykins,Emeka Okafor,Gerald Wallace,Jared Dudley,Matt Carroll
2008,CLE,PHI,8,?,Drew Gooden,Larry Hughes,LeBron James,Shannon Brown,Andre Iguodala,Andre Miller,Jason Smith,Kyle Korver,Reggie Evans
2008,MIA,MEM,34,Chris Quinn,Daequan Cook,Earl Barron,?,Ricky Davis,Casey Jacobsen,Hakim Warrick,Jason Collins,Kyle Lowry,Mike Conley
2008,MEM,SAS,25,Damon Stoudamire,Darko Milicic,?,Mike Miller,Rudy Gay,Bruce Bowen,Jacque Vaughn,Matt Bonner,Michael Finley,Tim Duncan
2008,PHO,DEN,9,?,Brian Skinner,Leandro Barbosa,Shawn Marion,Steve Nash,Allen Iverson,Linas Kleiza,Marcus Camby,Nene Hilario,Yakhouba Diawara
2008,MIA,CHI,9,Dwyane Wade,?,Mark Blount,Ricky Davis,Udonis Haslem,Ben Gordon,Ben Wallace,Chris Duhon,Joe Smith,Luol Deng
2008,MIN,POR,17,Al Jefferson,Antoine Walker,Marko Jaric,?,Ryan Gomes,James Jones,Jarrett Jack,LaMarcus Aldridge,Sergio Rodriguez,Travis Outlaw
2008,MIA,MIL,18,Chris Quinn,?,Earl Barron,Luke Jackson,Udonis Haslem,Andrew Bogut,Charlie Bell,Michael Redd,Michael Ruffin,Mo Williams
2008,SAC,LAC,13,Brad Miller,?,John Salmons,Quincy Douby,Spencer Hawes,Al Thornton,Brevin Knight,Elton Brand,Nick Fazekas,Smush Parker
2008,GSW,WAS,10,Al Harrington,Andris Biedrins,?,Monta Ellis,Stephen Jackson,Antawn Jamison,Darius Songaila,DeShawn Stevenson,Dominic McGuire,Nick Young
2008,MIL,PHI,33,Andrew Bogut,Desmond Mason,?,Mo Williams,Yi Jianlian,Andre Miller,Kyle Korver,Reggie Evans,Samuel Dalembert,Willie Green
